mode_sistem,arah_sektor,us_kiri,us_tengah,us_kanan,pwm_kiri,pwm_kanan
MENGHINDAR,KANAN,59,62,41,255,175
MENGHINDAR,HILANG,60,60,39,112,138
BERHENTI,HILANG,60,59,36,153,199
BERHENTI,KANAN,60,57,33,167,157
MENCARI,KIRI,59,55,31,242,234
MUNDUR,KANAN,58,53,28,116,220
MENGIKUTI,TENGAH,57,50,26,123,252
MENGIKUTI,TENGAH,55,48,23,109,128
MUNDUR,HILANG,53,46,22,150,102
MENGIKUTI,HILANG,51,44,20,196,169
MUNDUR,KIRI,48,42,19,176,158
MENGHINDAR,HILANG,45,40,18,125,152
MENGIKUTI,HILANG,42,38,17,211,241
MENGHINDAR,TENGAH,39,37,17,154,200
BERHENTI,KANAN,37,36,17,132,114
MENGHINDAR,KIRI,34,35,18,217,220
BERHENTI,HILANG,31,35,19,166,103
MENGHINDAR,TENGAH,28,35,20,176,141
BERHENTI,TENGAH,26,35,22,164,148
MUNDUR,KANAN,24,36,24,129,243
MENGIKUTI,TENGAH,22,37,26,134,213
MUNDUR,KANAN,21,38,29,178,128
MENGIKUTI,HILANG,20,40,32,150,205
MENCARI,KANAN,20,41,34,186,217
MENGIKUTI,TENGAH,20,43,37,180,138
MENGHINDAR,KANAN,21,45,40,115,136
MENGHINDAR,KIRI,22,48,42,190,134
MUNDUR,HILANG,23,50,44,224,230
MENCARI,TENGAH,25,52,47,108,218
MENGIKUTI,TENGAH,27,54,49,211,247
MUNDUR,HILANG,29,56,50,190,188
MENGIKUTI,KANAN,32,58,51,132,172
BERHENTI,KANAN,35,60,52,124,120
MUNDUR,KANAN,38,62,53,183,139
MENCARI,TENGAH,41,63,53,145,222
MENGHINDAR,TENGAH,44,64,53,138,134
MENCARI,TENGAH,47,65,52,206,114
MENGIKUTI,KANAN,49,65,51,241,231
BERHENTI,KIRI,52,65,50,232,128
MENCARI,KIRI,54,65,48,254,116
MENGHINDAR,TENGAH,56,64,46,231,200
MENGIKUTI,TENGAH,58,63,43,233,173
MENGHINDAR,HILANG,59,62,41,112,150
MENCARI,KIRI,60,60,38,144,118
MENGHINDAR,HILANG,60,59,36,101,107
MENGHINDAR,KIRI,60,57,33,210,100
MENCARI,TENGAH,59,55,30,198,202
BERHENTI,KIRI,58,52,28,209,233
MUNDUR,TENGAH,57,50,25,152,238
MENCARI,TENGAH,55,48,23,145,115
MUNDUR,KANAN,53,46,21,175,134
MENCARI,TENGAH,51,44,20,146,108
MUNDUR,KIRI,48,42,18,211,182
MUNDUR,TENGAH,45,40,18,196,190
MENGHINDAR,TENGAH,42,38,17,104,237
MENCARI,TENGAH,39,37,17,127,185
MENGHINDAR,KANAN,36,36,17,121,238
MENGIKUTI,HILANG,33,35,18,109,182
BERHENTI,TENGAH,31,35,19,110,205
BERHENTI,HILANG,28,35,21,216,153
BERHENTI,TENGAH,26,35,22,199,240
MENGHINDAR,KANAN,24,36,24,155,147
MENGIKUTI,KANAN,22,37,27,137,158
BERHENTI,TENGAH,21,38,29,126,122
MENGHINDAR,KIRI,20,40,32,214,209
MENCARI,KANAN,20,42,34,172,198
MENGIKUTI,KANAN,20,43,37,217,141
MENGHINDAR,KIRI,21,46,40,234,233
BERHENTI,TENGAH,22,48,42,238,198
MENGHINDAR,TENGAH,23,50,45,214,217
MENCARI,HILANG,25,52,47,125,191
MUNDUR,KANAN,27,54,49,208,179
MENCARI,TENGAH,30,57,50,228,112
MENGHINDAR,HILANG,32,58,52,135,192
BERHENTI,KIRI,35,60,52,155,172
MENCARI,TENGAH,38,62,53,137,233
MENCARI,HILANG,41,63,53,128,234
MENGHINDAR,KANAN,44,64,53,124,112
MENGIKUTI,HILANG,47,65,52,114,108
MUNDUR,HILANG,50,65,51,106,170
MENCARI,KIRI,52,65,49,122,236
MENCARI,HILANG,54,65,48,203,101
MENGIKUTI,KANAN,56,64,45,214,188
MUNDUR,KANAN,58,63,43,130,221
MENCARI,HILANG,59,62,41,127,141
MUNDUR,KIRI,60,60,38,179,135
MENGIKUTI,TENGAH,60,58,35,213,219
MENGHINDAR,KANAN,60,56,33,129,230
MENGHINDAR,KANAN,59,54,30,213,115
MENGIKUTI,KANAN,58,52,28,155,227
MENCARI,KIRI,57,50,25,166,187
MUNDUR,KANAN,55,48,23,212,254
BERHENTI,HILANG,53,45,21,167,233
MENGHINDAR,KIRI,50,43,20,204,148
BERHENTI,KIRI,48,41,18,177,220
MUNDUR,TENGAH,45,40,18,176,101
MENCARI,KIRI,42,38,17,240,115
MENGHINDAR,TENGAH,39,37,17,169,123
MUNDUR,HILANG,36,36,17,238,218
MENCARI,KANAN,33,35,18,172,204
BERHENTI,KIRI,30,35,19,100,154
MENGIKUTI,KIRI,28,35,21,240,247
MENGIKUTI,TENGAH,26,35,23,157,207
MENCARI,HILANG,24,36,25,164,153
MUNDUR,TENGAH,22,37,27,135,202
MENCARI,KIRI,21,38,29,145,221
MUNDUR,KANAN,20,40,32,161,132
BERHENTI,KANAN,20,42,35,113,156
MENGHINDAR,KANAN,20,44,37,254,141
MUNDUR,KIRI,21,46,40,192,115
MENGHINDAR,HILANG,22,48,43,235,159
BERHENTI,HILANG,23,50,45,150,132
BERHENTI,KANAN,25,52,47,172,255
MENGIKUTI,TENGAH,27,55,49,250,105
MENGHINDAR,KIRI,30,57,51,159,131
