timestamp,us_kiri,us_tengah,us_kanan,arah_sektor,mode_sistem,pwm_kiri,pwm_kanan
1785983017614,40.2,80.3,29.1,TENGAH,MENGIKUTI,150,150
1785983017715,44.2,86.6,32.5,TENGAH,MENGIKUTI,150,150
1785983017815,46.6,84.3,34.8,TENGAH,MENGIKUTI,150,150
1785983017916,51.3,78.6,28.7,TENGAH,MENGIKUTI,150,150
1785983018016,45.8,80.3,21,TENGAH,MENGIKUTI,150,150
1785983018117,53.3,73.1,21.8,TENGAH,MENGIKUTI,150,150
1785983018217,59.2,77.5,25,TENGAH,MENGIKUTI,150,150
1785983018318,52.2,71.3,33,TENGAH,MENGIKUTI,150,150
1785983018419,45.3,64.7,30,TENGAH,MENGIKUTI,150,150
1785983018520,45.9,71.9,31.3,TENGAH,MENGIKUTI,150,150
1785983018620,39.1,69,35.8,TENGAH,MENGIKUTI,150,150
1785983018721,35.8,65.2,31.7,KIRI,MENGIKUTI,75,150
1785983018822,30.5,60.6,31.5,TENGAH,MENGIKUTI,150,150
1785983018923,32.8,65.3,36.9,TENGAH,MENGIKUTI,150,150
1785983019024,25.7,57.8,39.5,TENGAH,MENGIKUTI,150,150
1785983019124,23.9,57.4,39.8,TENGAH,MENGIKUTI,150,150
1785983019225,23.1,49.9,40.9,TENGAH,MENGIKUTI,150,150
1785983019326,29.3,47.1,46.5,TENGAH,MENGIKUTI,150,150
1785983019426,28.7,46.1,39.1,TENGAH,MENGIKUTI,150,150
1785983019527,33.4,49.3,42.2,TENGAH,MENGIKUTI,150,150
1785983019628,31.7,43.6,42.9,TENGAH,MENGIKUTI,150,150
1785983019728,35.5,50.7,40.8,TENGAH,MENGIKUTI,150,150
1785983019829,41.2,45.1,44.7,TENGAH,MENGIKUTI,150,150
1785983019929,47.7,52.6,40.3,TENGAH,MENGIKUTI,150,150
1785983020030,48.3,45.7,41.4,TENGAH,MENGIKUTI,150,150
1785983020131,48.9,48.1,37.1,TENGAH,MENGIKUTI,150,150
1785983020232,45.3,50.2,29.6,TENGAH,MENGIKUTI,150,150
1785983020333,44.7,50.4,37.3,TENGAH,MENGIKUTI,150,150
1785983020434,48.6,53.9,34.7,TENGAH,MENGIKUTI,150,150
1785983020534,43.9,46.7,35.9,TENGAH,MENGIKUTI,150,150
1785983020635,51.1,48.8,36.4,TENGAH,MENGIKUTI,150,150
1785983020735,46.3,43.1,32.6,TENGAH,MENGIKUTI,150,150
1785983020836,42.9,45.3,28.7,TENGAH,MENGIKUTI,150,150
1785983020936,44.3,43.2,26.3,TENGAH,MENGIKUTI,150,150
1785983021037,42,46,27.5,TENGAH,MENGIKUTI,150,150
1785983021138,34.5,48.6,34.9,TENGAH,MENGIKUTI,150,150
1785983021238,27.3,56.4,35,TENGAH,MENGIKUTI,150,150
1785983021339,26.5,62.2,34.4,TENGAH,MENGIKUTI,150,150
1785983021439,26.9,64.8,34.3,TENGAH,MENGIKUTI,150,150
1785983021540,31.4,62.8,37.3,TENGAH,MENGIKUTI,150,150
1785983021641,29.6,62.7,31.7,TENGAH,MENGIKUTI,150,150
1785983021741,36.4,56.5,27.4,TENGAH,MENGIKUTI,150,150
1785983021842,37.8,63.1,20.6,TENGAH,MENGIKUTI,150,150
1785983021943,41.7,66.4,19.4,TENGAH,MENGIKUTI,150,150
1785983022044,36.3,72.8,16.7,TENGAH,MENGIKUTI,150,150
1785983022144,39.3,74.2,16.6,TENGAH,MENGIKUTI,150,150
1785983022245,42,69.2,12.7,TENGAH,MENGIKUTI,150,150
1785983022345,36,62.4,14.7,TENGAH,MENGIKUTI,150,150
1785983022446,29.8,64.3,20.6,TENGAH,MENGIKUTI,150,150
1785983022546,22.8,58.8,24.3,TENGAH,MENGIKUTI,150,150
1785983022647,28,53.4,28.7,TENGAH,MENGIKUTI,150,150
1785983022747,20.7,60,22.4,TENGAH,MENGIKUTI,150,150
1785983022848,27.5,60.5,19.6,TENGAH,MENGIKUTI,150,150
1785983022949,31.9,56.3,18.8,TENGAH,MENGIKUTI,150,150
1785983023050,29.5,55.9,11,TENGAH,MENGIKUTI,150,150
1785983023150,29.5,61.3,5,TENGAH,MENGIKUTI,150,150
1785983023251,22.6,66.2,11.3,TENGAH,MENGIKUTI,150,150
1785983023352,28.7,63.3,5,TENGAH,MENGIKUTI,150,150
1785983023453,22.1,68.6,5,TENGAH,MENGIKUTI,150,150
1785983023555,19.6,66.1,5.8,TENGAH,MENGIKUTI,150,150
1785983023655,26.6,73.5,13.8,TENGAH,MENGIKUTI,150,150
1785983023756,30.2,78.6,16.6,TENGAH,MENGIKUTI,150,150
1785983023856,26.3,75.2,22.9,TENGAH,MENGIKUTI,150,150
1785983023957,18.7,78.1,30.8,TENGAH,MENGIKUTI,150,150
1785983024057,17.6,76.7,29.3,TENGAH,MENGIKUTI,150,150
1785983024158,9.7,72.3,27.4,TENGAH,MENGIKUTI,150,150
1785983024259,5,67,27.6,TENGAH,MENGIKUTI,150,150
1785983024360,5.3,74.5,29.3,TENGAH,MENGIKUTI,150,150
1785983024460,5,72.3,32.9,TENGAH,MENGIKUTI,150,150
1785983024561,5,79.5,36,TENGAH,MENGIKUTI,150,150
1785983024662,6.4,86.5,43.5,TENGAH,MENGIKUTI,150,150
1785983024763,6.4,89.9,37.4,TENGAH,MENGIKUTI,150,150
1785983024864,13.1,83.5,32.9,HILANG,MENCARI,120,-120
1785983024965,7.2,90.5,25,HILANG,MENCARI,120,-120
1785983025065,9.5,98.3,29.5,HILANG,MENCARI,120,-120
1785983025166,10.8,99.8,21.7,HILANG,MENCARI,120,-120
1785983025266,17.5,94.4,24.4,HILANG,MENCARI,120,-120
1785983025367,19.1,93.6,18.4,HILANG,MENCARI,120,-120
1785983025468,17.7,100.2,12.4,HILANG,MENCARI,120,-120
1785983025569,13.7,99.1,7.9,HILANG,MENCARI,120,-120
1785983025670,18.5,97.9,7.4,HILANG,MENCARI,120,-120
1785983025770,14.8,104.8,7.9,HILANG,MENCARI,120,-120
1785983025871,20.5,104.2,12.5,HILANG,MENCARI,120,-120
1785983025972,23.6,99.7,6.8,HILANG,MENCARI,120,-120
1785983026073,21.5,106.7,13,HILANG,MENCARI,120,-120
1785983026174,24.6,101.7,18.6,HILANG,MENCARI,120,-120
1785983026274,18.2,106.5,12.4,HILANG,MENCARI,120,-120
1785983026375,12.3,102.4,18.7,HILANG,MENCARI,120,-120
1785983026476,18.7,102.9,23,HILANG,MENCARI,120,-120
1785983026576,22.4,100,18.3,HILANG,MENCARI,120,-120
1785983026677,26.8,102.1,14.4,HILANG,MENCARI,120,-120
1785983026778,19.2,95.3,22.1,HILANG,MENCARI,120,-120
1785983026879,13.7,92.6,15.9,HILANG,MENCARI,120,-120
1785983026980,10.5,85.1,23.6,HILANG,MENCARI,120,-120
1785983027081,7.6,81.5,27.4,HILANG,MENCARI,120,-120
1785983027182,13.7,81.1,32.9,HILANG,MENCARI,120,-120
1785983027283,15.2,80.1,39.3,HILANG,MENCARI,120,-120
1785983027383,22.2,80.5,46.4,HILANG,MENCARI,120,-120
1785983027484,25.1,73.8,48.2,HILANG,MENCARI,120,-120
1785983027585,22.8,75,40.8,HILANG,MENCARI,120,-120
1785983027685,23.7,68.1,45.3,HILANG,MENCARI,120,-120
1785983027786,16.4,64.6,46.4,HILANG,MENCARI,120,-120
1785983027886,12.5,67,39.7,HILANG,MENCARI,120,-120
1785983027987,15,68.7,47.3,HILANG,MENCARI,120,-120
1785983028087,13.2,73.6,53.4,HILANG,MENCARI,120,-120
1785983028188,10.8,79.3,55.7,HILANG,MENCARI,120,-120
1785983028289,13.7,82,62.8,TENGAH,MENGIKUTI,150,150
1785983028389,14.1,84.2,55.3,TENGAH,MENGIKUTI,150,150
1785983028490,19,88.6,57.9,TENGAH,MENGIKUTI,150,150
1785983028591,25.2,86.2,53.4,TENGAH,MENGIKUTI,150,150
1785983028692,18.2,79,60.1,TENGAH,MENGIKUTI,150,150
1785983028793,16.9,71.4,63.7,TENGAH,MENGIKUTI,150,150
1785983028893,11.7,65.4,62.3,TENGAH,MENGIKUTI,150,150
1785983028994,9.8,59.9,67.8,TENGAH,MENGIKUTI,150,150
1785983029095,16.4,53.1,63.3,TENGAH,MENGIKUTI,150,150
1785983029195,11.2,58.3,66.8,TENGAH,MENGIKUTI,150,150
1785983029296,9.7,59.7,59.3,TENGAH,MENGIKUTI,150,150
1785983029396,5.1,60.4,60.1,TENGAH,MENGIKUTI,150,150
1785983029497,7.2,54.3,67.3,TENGAH,MENGIKUTI,150,150
1785983029598,13.1,47.2,64.9,TENGAH,MENGIKUTI,150,150
1785983029699,12.9,53.8,59.6,TENGAH,MENGIKUTI,150,150
1785983029799,7.3,54.2,58.7,TENGAH,MENGIKUTI,150,150
1785983029900,5.9,58,64.3,TENGAH,MENGIKUTI,150,150
1785983030001,5,62.8,56.8,TENGAH,MENGIKUTI,150,150
1785983030101,5,57.5,64,TENGAH,MENGIKUTI,150,150
1785983030202,5,54.6,60.2,KIRI,MENGIKUTI,0,0
1785983030303,12.7,52.8,58.2,KIRI,MENGIKUTI,0,0
1785983030404,9.1,50.4,50.3,TENGAH,MENGIKUTI,150,150
1785983030505,6.3,50.3,45.9,TENGAH,MENGIKUTI,150,150
1785983030605,8.4,44.1,44.1,TENGAH,MENGIKUTI,150,150
1785983030706,5,48.4,38.6,TENGAH,MENGIKUTI,150,150
1785983030806,6.4,55.3,38.2,TENGAH,MENGIKUTI,150,150
1785983030907,5,58.2,33.7,TENGAH,MENGIKUTI,150,150
1785983031008,5,63.1,28.9,TENGAH,MENGIKUTI,150,150
1785983031108,7.5,56.6,31,TENGAH,MENGIKUTI,150,150
1785983031209,5,55.2,38.9,TENGAH,MENGIKUTI,150,150
1785983031309,11.5,56.9,37.4,TENGAH,MENGIKUTI,150,150
1785983031410,18.6,53.7,45.2,TENGAH,MENGIKUTI,150,150
1785983031511,26.5,48.9,44.2,TENGAH,MENGIKUTI,150,150
1785983031612,20.1,43.4,47.1,TENGAH,MENGIKUTI,150,150
1785983031713,22.7,37.1,47.5,TENGAH,MENGIKUTI,150,150
1785983031814,15,31.3,50.5,TENGAH,MENGIKUTI,150,150
1785983031915,18,37.8,52.3,TENGAH,MENGIKUTI,150,150
1785983032015,22,41.4,51.2,TENGAH,MENGIKUTI,150,150
1785983032116,18.5,46.8,43.4,TENGAH,MENGIKUTI,150,150
1785983032216,25.4,52.7,42.5,TENGAH,MENGIKUTI,150,150
1785983032317,20.4,49.6,37.6,TENGAH,MENGIKUTI,150,150
1785983032418,17.5,49.4,34.7,HILANG,MENCARI,120,-120
1785983032518,19.5,48.3,42.3,HILANG,MENCARI,120,-120
1785983032619,22.9,51.2,43.2,HILANG,MENCARI,120,-120
1785983032719,20.5,52.9,49.1,HILANG,MENCARI,120,-120
1785983032820,24.2,56.4,44.1,HILANG,MENCARI,120,-120
1785983032921,18.7,48.7,50.8,HILANG,MENCARI,120,-120
1785983033022,13.1,49.1,43.2,HILANG,MENCARI,120,-120
1785983033123,16.3,48.8,49.3,HILANG,MENCARI,120,-120
1785983033223,18.5,42,50.2,HILANG,MENCARI,120,-120
1785983033324,23.8,37.7,42.7,HILANG,MENCARI,120,-120
1785983033425,30.6,42.6,42.8,KIRI,MENGIKUTI,75,150
1785983033526,26.4,38.5,48.2,KIRI,MENGIKUTI,0,0
1785983033626,30.6,37.8,51.6,KIRI,MENGIKUTI,75,150
1785983033727,31.5,36.3,53.3,KIRI,MENGIKUTI,75,150
1785983033827,24.1,37.6,45.7,KIRI,MENGIKUTI,0,0
1785983033928,23.1,35.3,40.2,KIRI,MENGIKUTI,0,0
1785983034029,23.4,28.7,41.9,KIRI,MENGIKUTI,0,0
1785983034129,26.5,36.6,40.2,KANAN,MENGIKUTI,150,75
1785983034230,20.4,36,47.9,KANAN,MENGIKUTI,150,75
1785983034331,18.6,33.1,47.7,KANAN,MENGIKUTI,150,75
1785983034431,17.6,29.1,53.1,KANAN,MENGIKUTI,150,75
1785983034532,17.8,23.4,47.1,KANAN,MENGIKUTI,150,75
1785983034633,10.1,17.3,41.8,KANAN,MENGHINDAR,120,-120
1785983034734,16.8,24.7,39.2,KANAN,MENGIKUTI,150,75
1785983034834,16.4,22.9,42.7,KANAN,MENGIKUTI,150,75
1785983034935,18.7,14.9,39.3,KANAN,MENGHINDAR,120,-120
1785983035035,11.4,13.7,34.5,KANAN,MENGHINDAR,120,-120
1785983035136,12.7,12.7,40.7,KANAN,MENGHINDAR,120,-120
1785983035236,5.3,18.4,46.7,KANAN,MENGHINDAR,120,-120
1785983035337,10.1,15.7,54.4,KANAN,MENGHINDAR,120,-120
1785983035438,5,22.5,57.8,KANAN,MENGIKUTI,150,75
1785983035538,5,27.4,57.7,KANAN,MENGIKUTI,150,75
1785983035639,6.1,33.3,61,KANAN,MENGIKUTI,150,75
1785983035739,8.9,39.9,58.2,KANAN,MENGIKUTI,150,75
1785983035840,14,34.3,52.6,KANAN,MENGIKUTI,150,75
1785983035941,10.6,36.4,50.6,KANAN,MENGIKUTI,150,75
